,iso3,wdpa-id,park name,year,outside(up to 10 km from park boundary) deforestation rate  in %,inside (up to 10 km from park boundary) deforestation rate in %
Argentina,ARG,10,Calilegua,2001,3.72,3.54
Argentina,ARG,10,Calilegua,2002,9.18,3.35
Argentina,ARG,10,Calilegua,2003,1.24,4.24
Argentina,ARG,10,Calilegua,2004,9.92,0.52
Argentina,ARG,10,Calilegua,2005,43.54,3.69
Argentina,ARG,10,Calilegua,2006,25.68,5.66
Argentina,ARG,10,Calilegua,2007,8.31,0.71
Argentina,ARG,10,Calilegua,2008,15.13,2.23
Argentina,ARG,10,Calilegua,2009,4.84,2.26
Argentina,ARG,10,Calilegua,2010,20.47,2.46
Argentina,ARG,10,Calilegua,2011,0.62,1.02
Argentina,ARG,10,Calilegua,2012,15.88,10.15
Argentina,ARG,11,Barit·,2001,1.86,0.07
Argentina,ARG,11,Barit·,2002,1.86,0.14
Argentina,ARG,11,Barit·,2003,0.00,0.30
Argentina,ARG,11,Barit·,2004,0.00,0.17
Argentina,ARG,11,Barit·,2005,0.37,0.22
Argentina,ARG,11,Barit·,2006,1.12,0.61
Argentina,ARG,11,Barit·,2007,0.00,0.77
Argentina,ARG,11,Barit·,2008,0.37,1.90
Argentina,ARG,11,Barit·,2009,0.74,0.45
Argentina,ARG,11,Barit·,2010,0.00,0.53
Argentina,ARG,11,Barit·,2011,0.74,0.55
Argentina,ARG,11,Barit·,2012,0.00,1.10
Argentina,ARG,15,Iguaz·,2001,99.37,0.08
Argentina,ARG,15,Iguaz·,2002,99.37,0.14
Argentina,ARG,15,Iguaz·,2003,99.37,40.74
Argentina,ARG,15,Iguaz·,2004,99.37,7.25
Argentina,ARG,15,Iguaz·,2005,99.37,4.81
Argentina,ARG,15,Iguaz·,2006,99.37,1.99
Argentina,ARG,15,Iguaz·,2007,80.18,0.49
Argentina,ARG,15,Iguaz·,2008,52.88,1.71
Argentina,ARG,15,Iguaz·,2009,99.37,1.46
Argentina,ARG,15,Iguaz·,2010,99.37,0.10
Argentina,ARG,15,Iguaz·,2011,99.37,1.04
Argentina,ARG,15,Iguaz·,2012,58.83,3.96
Argentina,ARG,16,El Rey,2001,2.20,1.05
Argentina,ARG,16,El Rey,2002,0.83,0.92
Argentina,ARG,16,El Rey,2003,2.39,0.59
Argentina,ARG,16,El Rey,2004,3.42,0.35
Argentina,ARG,16,El Rey,2005,1.62,1.69
Argentina,ARG,16,El Rey,2006,8.53,1.10
Argentina,ARG,16,El Rey,2007,5.09,0.70
Argentina,ARG,16,El Rey,2008,14.02,2.32
Argentina,ARG,16,El Rey,2009,0.82,0.49
Argentina,ARG,16,El Rey,2010,48.24,0.72
Argentina,ARG,16,El Rey,2011,4.55,1.54
Argentina,ARG,16,El Rey,2012,4.37,1.36
Argentina,ARG,10901,Iguazu National Park,2001,12.28,0.00
Argentina,ARG,10901,Iguazu National Park,2002,29.03,0.13
Argentina,ARG,10901,Iguazu National Park,2003,74.06,0.33
Argentina,ARG,10901,Iguazu National Park,2004,46.15,0.07
Argentina,ARG,10901,Iguazu National Park,2005,65.13,0.13
Argentina,ARG,10901,Iguazu National Park,2006,35.36,0.00
Argentina,ARG,10901,Iguazu National Park,2007,48.75,0.66
Argentina,ARG,10901,Iguazu National Park,2008,60.29,0.13
Argentina,ARG,10901,Iguazu National Park,2009,59.17,0.20
Argentina,ARG,10901,Iguazu National Park,2010,73.32,0.79
Argentina,ARG,10901,Iguazu National Park,2011,71.46,0.46
Argentina,ARG,10901,Iguazu National Park,2012,55.82,0.46
Argentina,ARG,16869,General Belgrano,2001,28.70,26.24
Argentina,ARG,16869,General Belgrano,2002,29.03,18.98
Argentina,ARG,16869,General Belgrano,2003,31.88,42.99
Argentina,ARG,16869,General Belgrano,2004,66.78,46.89
Argentina,ARG,16869,General Belgrano,2005,69.02,68.66
Argentina,ARG,16869,General Belgrano,2006,45.49,56.94
Argentina,ARG,16869,General Belgrano,2007,28.16,52.48
Argentina,ARG,16869,General Belgrano,2008,91.64,21.21
Argentina,ARG,16869,General Belgrano,2009,35.48,11.17
Argentina,ARG,16869,General Belgrano,2010,38.46,30.70
Argentina,ARG,16869,General Belgrano,2011,30.81,44.10
Argentina,ARG,16869,General Belgrano,2012,15.42,4.47
Argentina,ARG,16884,La Florida P.,2001,1.05,6.55
Argentina,ARG,16884,La Florida P.,2002,1.01,0.45
Argentina,ARG,16884,La Florida P.,2003,0.14,0.22
